fullname,belongToIndustry,hasSupplyChain
建筑、农用机械与重型卡车,工业-资本品-机械制造-建筑、农用机械与重型卡车,"商业服务-综合支持服务-安装劳务,消费信贷-租赁服务,消费信贷-租赁服务-融资租赁,消费信贷-租赁服务-融资租赁-机械产品融资租赁,消费信贷-租赁服务-经营性租赁,消费信贷-租赁服务-经营性租赁-机械产品经营租赁,工业设备和产品贸易-其他工业机械和产品经销商,公路与铁路运输,交通基本设施,工业设备和产品贸易,商业服务-综合支持服务-安装劳务-其他安装劳务,煤与消费用燃料,建筑与工程,建筑与工程-其他建筑与工程承包"
建筑、农用机械与重型卡车-港口机械,工业-资本品-机械制造-建筑、农用机械与重型卡车,"交通基本设施-海港与服务-港口服务-港口物流,交通基本设施-海港与服务,交通基本设施-海港与服务-港口服务,交通基本设施-海港与服务-港口服务-其他港口服务,交通基本设施-海港与服务-港口服务-港口物流-装卸业务,交通基本设施-海港与服务-港口服务-港口物流-堆存业务,消费信贷-租赁服务,消费信贷-租赁服务-融资租赁,消费信贷-租赁服务-融资租赁-机械产品融资租赁,消费信贷-租赁服务-经营性租赁,消费信贷-租赁服务-经营性租赁-机械产品经营租赁"
化工商品贸易,商贸-资本品商贸-工业资本品贸易-化工商品贸易,
化工商品贸易-化工产品贸易,商贸-资本品商贸-工业资本品贸易-化工商品贸易,
化工商品贸易-化工产品贸易-橡塑制品贸易,商贸-资本品商贸-工业资本品贸易-化工商品贸易,
机动车贸易,商贸-消费品商贸-非日常消费品商贸-机动车贸易,
机动车贸易-汽车贸易,商贸-消费品商贸-非日常消费品商贸-机动车贸易,
汽车,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,公路与铁路运输-陆运,公路与铁路运输-陆运-汽车租赁,特殊消费者服务-商品预订,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油,商业服务-综合支持服务-维护服务-交通工具维护服务,机动车贸易-其他机动车贸易,调查和咨询服务-专业技术服务-其他技术服务,商业服务,机动车贸易,机动车贸易-汽车贸易-二手车零售,综合金融服务-特殊金融服务-汽车金融服务,调查和咨询服务-专业技术服务,商业服务-综合支持服务-汽车美容服务-洗车服务,商业服务-综合支持服务-汽车试驾测试服务,航空货运与物流-物流服务-汽车物流服务,互联网软件与服务-电商平台提供商-汽车类信息服务,商业服务-综合支持服务-汽车美容服务"
轮胎与橡胶,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,机动车贸易-机动车零配件零售,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆"
轮胎与橡胶-轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,消闲用品-自行车,机动车贸易-机动车零配件零售,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-机场服务设备-机场专用车辆"
轮胎与橡胶-轮胎-特种轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"机动车贸易-机动车零配件零售,商业服务-综合支持服务-加工劳务-轮胎分装"
轮胎与橡胶,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,机动车贸易-机动车零配件零售,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆"
轮胎与橡胶-轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,消闲用品-自行车,机动车贸易-机动车零配件零售,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-机场服务设备-机场专用车辆"
轮胎与橡胶-轮胎-工程轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"建筑、农用机械与重型卡车-重卡及专用车-专用汽车,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-特种结构汽车-公路养护车,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-厢式汽车-防弹车,机动车贸易-机动车零配件零售,建筑、农用机械与重型卡车-工程机械,建筑、农用机械与重型卡车-工程机械-其他工程机械,建筑、农用机械与重型卡车-重卡及专用车,建筑、农用机械与重型卡车-工程机械-筑养路机械-碎石路面施工机械,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-起重举升汽车-消防车,建筑、农用机械与重型卡车-工程机械-工业车辆,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-其他专用车,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-特种结构汽车,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-起重举升汽车,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-厢式汽车,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-罐式汽车,建筑、农用机械与重型卡车-工程机械-高空作业机械,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-煤矿井下运输车,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-厢式汽车-救护车,建筑、农用机械与重型卡车-工程机械-筑养路机械,建筑、农用机械与重型卡车-工程机械-筑养路机械-压实机,建筑、农用机械与重型卡车-工程机械-筑养路机械-沥青混凝土路面施工机械,建筑、农用机械与重型卡车-工程机械-土方机械,建筑、农用机械与重型卡车-重卡及专用车-专用汽车-罐式汽车-油罐车"
轮胎与橡胶,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,机动车贸易-机动车零配件零售,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆"
轮胎与橡胶-轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,消闲用品-自行车,机动车贸易-机动车零配件零售,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-机场服务设备-机场专用车辆"
轮胎与橡胶-轮胎-全钢子午线轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"建筑、农用机械与重型卡车-港口机械,机动车贸易-机动车零配件零售,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-工程机械-起重装卸机械,建筑、农用机械与重型卡车-重卡及专用车-重卡,建筑、农用机械与重型卡车-重卡及专用车-重卡-自卸车,建筑、农用机械与重型卡车-重卡及专用车-重卡-自卸车-非公路自卸车"
轮胎与橡胶,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,机动车贸易-机动车零配件零售,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆"
轮胎与橡胶-轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,消闲用品-自行车,机动车贸易-机动车零配件零售,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-机场服务设备-机场专用车辆"
轮胎与橡胶-轮胎-半钢子午线轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,汽车-汽车制造-乘用车,汽车-汽车制造-乘用车-SUV,汽车-汽车制造-乘用车-轿车,汽车-汽车制造-商用车,汽车-汽车制造-商用车-客车,汽车-汽车制造-商用车-客车-大型客车,汽车-汽车制造-商用车-客车-中型客车,汽车-汽车制造-商用车-客车-小型客车,汽车-汽车制造-商用车-货车,汽车-汽车制造-商用车-货车-轻卡,汽车-汽车制造-商用车-货车-皮卡,建筑、农用机械与重型卡车-环卫机械-环卫车,机动车贸易-机动车零配件零售,汽车-汽车制造-商用车-客车-其他客车,汽车-汽车制造-新能源汽车,汽车-汽车制造-休闲汽车,商业服务-综合支持服务-加工劳务-轮胎分装"
汽车,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,公路与铁路运输-陆运,公路与铁路运输-陆运-汽车租赁,特殊消费者服务-商品预订,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油,商业服务-综合支持服务-维护服务-交通工具维护服务,机动车贸易-其他机动车贸易,调查和咨询服务-专业技术服务-其他技术服务,商业服务,机动车贸易,机动车贸易-汽车贸易-二手车零售,综合金融服务-特殊金融服务-汽车金融服务,调查和咨询服务-专业技术服务,商业服务-综合支持服务-汽车美容服务-洗车服务,商业服务-综合支持服务-汽车试驾测试服务,航空货运与物流-物流服务-汽车物流服务,互联网软件与服务-电商平台提供商-汽车类信息服务,商业服务-综合支持服务-汽车美容服务"
汽车-汽车制造,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,公路与铁路运输-陆运,公路与铁路运输-陆运-汽车租赁,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油,综合金融服务-特殊金融服务-汽车金融服务,工业机械-专用设备制造-汽保设备,商业服务-综合支持服务-汽车美容服务-洗车服务,商业服务-综合支持服务-汽车试驾测试服务,航空货运与物流-物流服务-汽车物流服务,商业服务-综合支持服务-汽车美容服务"
建筑、农用机械与重型卡车,工业-资本品-机械制造-建筑、农用机械与重型卡车,"商业服务-综合支持服务-安装劳务,消费信贷-租赁服务,消费信贷-租赁服务-融资租赁,消费信贷-租赁服务-融资租赁-机械产品融资租赁,消费信贷-租赁服务-经营性租赁,消费信贷-租赁服务-经营性租赁-机械产品经营租赁,工业设备和产品贸易-其他工业机械和产品经销商,公路与铁路运输,交通基本设施,工业设备和产品贸易,商业服务-综合支持服务-安装劳务-其他安装劳务,煤与消费用燃料,建筑与工程,建筑与工程-其他建筑与工程承包"
建筑、农用机械与重型卡车-环卫机械,工业-资本品-机械制造-建筑、农用机械与重型卡车,"消费信贷-租赁服务,消费信贷-租赁服务-融资租赁,消费信贷-租赁服务-融资租赁-机械产品融资租赁,消费信贷-租赁服务-经营性租赁,消费信贷-租赁服务-经营性租赁-机械产品经营租赁,建筑与工程-交通工程-公路工程-道路养护工程"
建筑、农用机械与重型卡车-环卫机械-环卫车,工业-资本品-机械制造-建筑、农用机械与重型卡车,"消费信贷-租赁服务,消费信贷-租赁服务-融资租赁,消费信贷-租赁服务-融资租赁-机械产品融资租赁,消费信贷-租赁服务-经营性租赁,消费信贷-租赁服务-经营性租赁-机械产品经营租赁,机动车贸易-其他机动车贸易,机动车贸易,商业服务-综合支持服务-清洁服务-道路清洁服务"
消闲用品,非日常生活消费品-耐用消费品与服装-休闲设备与用品-消闲用品,"赌场与赌博,消闲设施,消闲设施-其他消闲设施"
消闲用品-自行车,非日常生活消费品-耐用消费品与服装-休闲设备与用品-消闲用品,"保险-财产与意外伤害保险-非机动车辆险,商业服务-综合支持服务-维护服务-交通工具维护服务,生活消费品贸易"
机动车贸易,商贸-消费品商贸-非日常消费品商贸-机动车贸易,
机动车贸易-机动车零配件零售,商贸-消费品商贸-非日常消费品商贸-机动车贸易,
商业服务,工业-商业和专业服务-商业服务与商业用品-商业服务,
商业服务-综合支持服务,工业-商业和专业服务-商业服务与商业用品-商业服务,"商业服务-环境与设施服务,商业服务-环境与设施服务-其他环境工程服务,信息技术服务-信息科技咨询与其他服务,信息技术服务-信息科技咨询与其他服务-其他信息科技服务,互联网软件与服务-电商平台提供商-其他电子商务服务,互联网软件与服务-电商平台提供商"
商业服务-综合支持服务-维护服务,工业-商业和专业服务-商业服务与商业用品-商业服务,
商业服务-综合支持服务-维护服务-交通工具维护服务,工业-商业和专业服务-商业服务与商业用品-商业服务,
商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,工业-商业和专业服务-商业服务与商业用品-商业服务,
保险,金融-保险-保险-保险,调查和咨询服务-咨询服务-金融中介服务-保险公估服务
保险-财产与意外伤害保险,金融-保险-保险-保险,"保险-保险经纪服务,保险-再保险,调查和咨询服务-咨询服务-金融中介服务-保险公估服务"
保险-财产与意外伤害保险-机动车辆险,金融-保险-保险-保险,保险-保险经纪服务
石油与天然气,能源-能源-石油、天然气与消费用燃料-石油与天然气,"复合型公用事业,多种化学制品,化肥与农用药剂,工业气体,特种化学制品,商品化工-其他商品化工产品,商品化工,建筑材料,特种化学制品-其他特种化学制品,工业气体-其他工业气体,建筑材料-其他建筑材料,公路与铁路运输"
石油与天然气-石油与天然气的炼制和营销,能源-能源-石油、天然气与消费用燃料-石油与天然气,"复合型公用事业-热电生产和输供,化肥与农用药剂-化肥,石油与天然气-石油与天然气的储存和运输,特种化学制品-精细化工,商品化工-有机化工-其他有机化合物,特种化学制品-精细化工-其他精细化工品,化肥与农用药剂-化肥-其他化肥,独立电力生产商与能源贸易商-油气零售站,商品化工-有机化工"
石油与天然气-石油与天然气的炼制和营销-石油炼制产品,能源-能源-石油、天然气与消费用燃料-石油与天然气,"独立电力生产商与能源贸易商-油气零售站-加油站,居家用品-蜡烛,特种化学制品-精细化工,石油与天然气-石油与天然气的储存和运输-石油与天然气运输,商品化工-合成树脂-其他合成树脂-石油树脂,石油与天然气-石油与天然气的储存和运输-石油与天然气运输-油品运输,石油与天然气-石油与天然气的储存和运输-石油与天然气存储,商品化工-有机化工-芳香烃-其他芳香烃,商品化工-有机化工-其他有机化合物,商品化工-有机化工-其他有机化合物-其他有机溶剂,特种化学制品-精细化工-其他精细化工品,特种化学制品-精细化工-化工助剂-化肥助剂,特种化学制品-精细化工-萃取剂,商品化工-有机化工,特种化学制品-精细化工-汽车化工用品,特种化学制品-精细化工-填充油膏,电子制造-电子元件-电子材料-电池材料-锂离子电池材料-锂离子电池正负极材料-锂离子电池负极材料,商品化工-有机化工-烯烃,商品化工-有机化工-烷烃,商品化工-有机化工-芳香烃"
石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油,能源-能源-石油、天然气与消费用燃料-石油与天然气,"航空货运与物流-物流服务-化工物流,石油与天然气-石油与天然气的炼制和营销-成品油贸易,石油与天然气-石油与天然气的储存和运输-石油与天然气运输,特种化学制品-精细化工-化工助剂-皮革化学品-皮革化纤油剂,商品化工-有机化工-芳香烃-苯及其衍生物-其他苯及其衍生物,航空货运与物流-物流服务-仓储服务-石化产品仓储服务,特种化学制品-精细化工-化工助剂-皮革化学品,商品化工-有机化工-芳香烃-苯及其衍生物"
石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油,能源-能源-石油、天然气与消费用燃料-石油与天然气,"航空货运与物流,航空货运与物流-物流服务,航空货运与物流-物流服务-第三方物流-快递物流,航空货运与物流-物流服务-化工物流,公路与铁路运输-陆运,公路与铁路运输-陆运-公路货运,公路与铁路运输-陆运-公路客运,公路与铁路运输-陆运-出租车服务,独立电力生产商与能源贸易商-油气零售站-加油站,石油与天然气-石油与天然气的炼制和营销-成品油贸易,航空货运与物流-物流服务-其他物流服务,航空货运与物流-物流服务-第三方物流,航空货运与物流-物流服务-医药物流服务,航空货运与物流-物流服务-金属物流服务,航空货运与物流-物流服务-冷链物流,公路与铁路运输-陆运-公路货运-公路危化品运输,航空货运与物流-物流服务-汽车物流服务,公路与铁路运输-陆运-公共汽车运输,航空货运与物流-物流服务-IT物流服务"
建筑、农用机械与重型卡车,工业-资本品-机械制造-建筑、农用机械与重型卡车,"商业服务-综合支持服务-安装劳务,消费信贷-租赁服务,消费信贷-租赁服务-融资租赁,消费信贷-租赁服务-融资租赁-机械产品融资租赁,消费信贷-租赁服务-经营性租赁,消费信贷-租赁服务-经营性租赁-机械产品经营租赁,工业设备和产品贸易-其他工业机械和产品经销商,公路与铁路运输,交通基本设施,工业设备和产品贸易,商业服务-综合支持服务-安装劳务-其他安装劳务,煤与消费用燃料,建筑与工程,建筑与工程-其他建筑与工程承包"
建筑、农用机械与重型卡车-重卡及专用车,工业-资本品-机械制造-建筑、农用机械与重型卡车,"消费信贷-租赁服务,消费信贷-租赁服务-融资租赁,消费信贷-租赁服务-融资租赁-机械产品融资租赁,消费信贷-租赁服务-经营性租赁,消费信贷-租赁服务-经营性租赁-机械产品经营租赁,机动车贸易-其他机动车贸易,机动车贸易,机动车贸易-汽车贸易-二手车零售,建筑与工程-交通工程,建筑与工程-电力工程"
建筑、农用机械与重型卡车,工业-资本品-机械制造-建筑、农用机械与重型卡车,"商业服务-综合支持服务-安装劳务,消费信贷-租赁服务,消费信贷-租赁服务-融资租赁,消费信贷-租赁服务-融资租赁-机械产品融资租赁,消费信贷-租赁服务-经营性租赁,消费信贷-租赁服务-经营性租赁-机械产品经营租赁,工业设备和产品贸易-其他工业机械和产品经销商,公路与铁路运输,交通基本设施,工业设备和产品贸易,商业服务-综合支持服务-安装劳务-其他安装劳务,煤与消费用燃料,建筑与工程,建筑与工程-其他建筑与工程承包"
